"product_id","product_name","product_type","product_fire_coverage","product_legal_defense_coverage","product_liability_coverage","product_passangers_coverage","product_damage_coverage","product_theft_coverage","product_windshield_coverage"
"2ee90008545b355e0699389137e4ec6e",Hybrid,CarIn,N,Y,Y,Y,Y,Y,Y
"7e7d649964fcca2a6028458605455b95",Telematics,CarIn,N,N,N,N,N,N,N
"8d57b9ab34eb63911f907a4fce6da224",Telematics,CarIn New,N,Y,Y,N,N,N,N
"70de10d128c67576a6624d80d0ef7d58",Telematics,CarIn New,N,Y,Y,Y,N,N,N
fe22db69cdd179a45ad2a7afed0cdeb7,Telematics,CarIn,N,N,N,N,N,N,N
f6e9cd04023c0be5f3df0bc54fce3729,Telematics,CarIn,N,Y,Y,Y,N,N,Y
d002971a9349867688add0311a7009b2,Telematics,CarIn New,N,Y,Y,Y,N,N,Y
efdebff6512bb3b4de7133eaafddd03e,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"63b32b961c74ad1cd57d83fa61fadfe7",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"67ab44583a0d64daaf2764970a33141c",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"32fb0ec4717ff11b0c5617b11f43cb58",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7d7647543c2decda5d4ff932474d7b70",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"09742caa011e13bb216e0801c971a1f2",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
cfa5ff20f9809a133c1f8cba597d0ff4,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7efe29c6816b6101bdfd71a800fef6e2",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"48958752c06b20560c7cf2f05a28421d",Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
a78254b31f60ba7d81e84e47d1f64932,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,N
be7050b2a5a7f9b14b3956aa49ff587d,Telematics,CarIn,Y,Y,Y,Y,N,N,Y
"81cc4983c32386267d93611653c7cf8e",Telematics,CarIn,Y,Y,Y,Y,N,Y,Y
ffd553b97e978c87a950f5f27d3d8871,Telematics,CarIn New,Y,Y,Y,Y,N,N,Y
"2e0af2357d0f45257df24720321af971",Telematics,CarIn New,Y,Y,Y,Y,N,Y,Y
ac74c8d0145c07b488c9d713f122b152,Telematics,CarIn,N,Y,Y,Y,Y,Y,N
d71a1dce7173aaf1271215627a15f355,Telematics,CarIn,N,N,N,N,N,N,N
c5d0efa4cd169477d2aab3ff25f956fe,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
b54a2af172c378bbbb4c223e6970df33,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
cbc77fdd91452db8e676a110eef15a94,Telematics,CarIn New,N,N,N,N,N,N,N
"43e5ccee65c5744d92a77630558d2f2b",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
ac59021c2c64811dc532752bf5ee5945,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
e8a4acd202f47fa0cffbb35b17478f64,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
e9824eb1039c217e42341f2141c2f2ea,Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
"14ba6ebdfa44f7da6e835c1915d074ef",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
dc4f23e84950e8a5b03cb2bc1d55221f,Hybrid,CarIn New,Y,Y,Y,Y,N,Y,Y
"79e040034c28bcfb52bd98abd08e3605",Telematics,CarIn New,N,N,N,N,N,N,N
"89c203d94a0668f585f685c7d7b36540",Telematics,CarIn New,N,Y,Y,Y,N,Y,Y
a62b1d28a7b5a51ebc78f338d821ea20,Telematics,CarIn,N,Y,Y,Y,Y,Y,N
ad571ef8051df1b6eb00e995d1436c97,Telematics,CarIn,N,N,N,N,N,N,N
"376dfd6c5db2c672b1d4c4397bb53124",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"9aad96825845316a05e3c13e7602103a",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
adba6690c1cb70201d48625ba99e9124,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"1c9c61b72a5e0beffc626331f0cc4f55",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"67613f22211b0a6866b60a345c4954fe",Telematics,CarIn New,Y,Y,Y,Y,Y,Y,Y
"04176a436a7715d586489adb2a959f1a",Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"9a58fe94afc39c12ab49c6cd3faef009",Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
"77564e56f872c44d57092fa6c10c4bf4",Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"4188f28c6cfcc04ff27abb5bb4c206b5",Telematics Employee,CarIn Employee,N,Y,Y,Y,N,N,N
"8542c558a63615ea44cf6f8a5593b57c",Telematics Employee,CarIn Employee,Y,Y,Y,Y,N,N,Y
"00c04ab5d7d681d5b05aa2f132fefa1b",Telematics Employee,CarIn Employee,Y,Y,Y,Y,N,Y,Y
b22df05f83a039628755cd1cc5c2f8c1,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"0dd1531ed4b1a3a4ca9fdc41e8b909b7",Telematics Employee,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
ae24857e49b395232a759605d1afe8a9,Telematics,CarIn,N,Y,Y,Y,N,N,N
"76dccc073ca959c7c57dc8f3840079b9",Telematics,CarIn New,N,N,Y,N,N,N,N
"6014b13de73697dbbef73208cfa6a782",Telematics,CarIn New,N,N,N,N,N,N,N
"9e7286e267d8a2719a4dfcd652acef25",Telematics,CarIn New,N,Y,Y,Y,Y,Y,N
"2661d938891b0cf014144db4e1d0e603",Telematics,CarIn New,N,Y,Y,Y,Y,Y,N
"571a67c1bf5977b3bafd44e5e26f61e8",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"4fad66e5c832dee400e0c3acb00f08b1",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
a718df346714eeddb751e061ff1a91c9,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"7d91b599d163ad4ab1f4926e782c1fe7",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"8a3ef5666133b61062e73cbb44f331c7",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
b783616e254ed9b4b82acfd216d652ac,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"6190554c4fec5ba8b4708cbb7941576d",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
"1087c7515d7b5c25b779d4d0361bc335",Telematics,CarIn New,N,N,N,N,N,N,N
bf0ac8d28a7e218a929ddb99ab106788,Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"0e388c0e9954020acfc646ba6ab871f3",Telematics,CarIn New,Y,Y,Y,Y,Y,Y,Y
"580363a06f86d29fc79d4346f7d6e12c",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
ee3a5885c826e7448e2bcd74c4cbf74b,Telematics,CarIn New,Y,Y,Y,Y,Y,Y,Y
"1cf9d28362a8e6cfcabb6a2364e06465",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"7ef1a71db6641f1d6dd4f16b505eb126",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
